Landsat Scene Identifier,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir Off Nadir,Full or Partial Scene,Data Category,Bias Parameter File Name OLI,Bias Parameter File Name TIRS,Calibration Parameter File,RLUT File Name,Roll Angle,Station Identifier,Day/Night,Data Type Level 1,Sensor Identifier,Date Acquired,Start Time,Stop Time,Image Quality,Scene Cloud Cover,Sun Elevation,Sun Azimuth,Geometric RMSE Model X,Geometric RMSE Model Y,Ground Control Points Model,Ground Control Points Version,Browse Exists,Processing Software Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
LC80060682015294LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20151021130300_20151021161935.01,LT8BPF20151021143600_20151021152848.01,L8CPF20151001_20151231.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/21,2015:294:15:04:34.0841910,2015:294:15:05:05.8541880,9,64.84,65.72457403,90.46712669,7.136,6.4,36,-1,Y,LPGS_2.5.1,11°34'04.04"S,74°46'40.30"W,10°31'09.16"S,75°26'19.93"W,10°52'49.12"S,73°44'15.32"W,12°37'15.96"S,74°06'43.92"W,12°15'21.78"S,75°49'27.01"W,-11.56779,-74.77786,-10.51921,-75.43887,-10.88031,-73.73759,-12.6211,-74.1122,-12.25605,-75.82417,LC80060682015294LGN00,LC80060682015294LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015294LGN00
LC80060682015278LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20151005130010_20151005161645.01,LT8BPF20151005143733_20151005152734.01,L8CPF20151001_20151231.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/10/05,2015:278:15:04:31.6463280,2015:278:15:05:03.4163250,9,28.05,63.68960908,77.13341405,6.843,6.508,140,-1,Y,LPGS_2.5.1,11°34'04.15"S,74°46'52.46"W,10°31'09.26"S,75°26'31.63"W,10°52'49.37"S,73°44'27.38"W,12°37'16.10"S,74°06'56.38"W,12°15'21.78"S,75°49'39.11"W,-11.56782,-74.78124,-10.51924,-75.44212,-10.88038,-73.74094,-12.62114,-74.11566,-12.25605,-75.82753,LC80060682015278LGN00,LC80060682015278LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015278LGN00
LC80060682015262LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150919125808_20150919161618.01,LT8BPF20150919125414_20150919152531.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/19,2015:262:15:04:28.3254680,2015:262:15:05:00.0954640,9,64.04,60.12388472,65.92039612,6.169,6.238,52,-1,Y,LPGS_2.5.1,11°34'03.00"S,74°47'03.77"W,10°31'08.11"S,75°26'42.97"W,10°52'48.47"S,73°44'38.29"W,12°37'15.06"S,74°07'07.39"W,12°15'20.48"S,75°49'50.59"W,-11.5675,-74.78438,-10.51892,-75.44527,-10.88013,-73.74397,-12.62085,-74.11872,-12.25569,-75.83072,LC80060682015262LGN00,LC80060682015262LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015262LGN00
LC80060682015246LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150903141856_20150903161457.01,LT8BPF20150903141502_20150903152322.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/09/03,2015:246:15:04:19.3688060,2015:246:15:04:51.1388030,9,34.4,55.85082452,57.34418002,6.818,6.237,134,-1,Y,LPGS_2.5.1,11°34'04.19"S,74°46'06.85"W,10°31'09.23"S,75°25'45.80"W,10°52'49.69"S,73°43'41.59"W,12°37'16.28"S,74°06'10.87"W,12°15'21.64"S,75°48'53.60"W,-11.56783,-74.76857,-10.51923,-75.42939,-10.88047,-73.72822,-12.62119,-74.10302,-12.25601,-75.81489,LC80060682015246LGN00,LC80060682015246LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015246LGN00
LC80060682015230LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150818143711_20150818151149.01,LT8BPF20150818143317_20150818161059.01,L8CPF20150701_20150930.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/18,2015:230:15:04:14.7807460,2015:230:15:04:46.5507420,9,25.1,51.65676178,50.89747738,6.881,5.154,181,-1,Y,LPGS_2.5.1,11°34'03.00"S,74°46'29.39"W,10°31'07.75"S,75°26'08.20"W,10°52'48.40"S,73°44'04.24"W,12°37'15.20"S,74°06'33.77"W,12°15'20.38"S,75°49'16.21"W,-11.5675,-74.77483,-10.51882,-75.43561,-10.88011,-73.73451,-12.62089,-74.10938,-12.25566,-75.82117,LC80060682015230LGN00,LC80060682015230LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015230LGN00
LC80060682015214LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150802143704_20150802151142.01,LT8BPF20150802143310_20150802151352.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/08/02,2015:214:15:04:07.7365600,2015:214:15:04:39.5065560,9,12.54,48.1631158,45.9907361,6.761,4.65,293,-1,Y,LPGS_2.5.1,11°34'03.47"S,74°46'28.88"W,10°31'08.29"S,75°26'07.01"W,10°52'48.97"S,73°44'03.84"W,12°37'15.85"S,74°06'33.62"W,12°15'20.99"S,75°49'15.31"W,-11.56763,-74.77469,-10.51897,-75.43528,-10.88027,-73.7344,-12.62107,-74.10934,-12.25583,-75.82092,LC80060682015214LGN00,LC80060682015214LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015214LGN00
LC80060682015198LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150717080041_20150717151139.01,LT8BPF20150717075647_20150717151234.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/17,2015:198:15:04:04.2650770,2015:198:15:04:36.0350730,9,38.61,45.78683484,42.34043555,6.653,5.135,166,2,Y,LPGS_2.5.1,11°34'03.36"S,74°47'32.68"W,10°31'08.08"S,75°27'11.05"W,10°52'49.01"S,73°45'07.45"W,12°37'15.71"S,74°07'37.38"W,12°15'20.59"S,75°50'19.50"W,-11.5676,-74.79241,-10.51891,-75.45307,-10.88028,-73.75207,-12.62103,-74.12705,-12.25572,-75.83875,LC80060682015198LGN00,LC80060682015198LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015198LGN00
LC80060682015182LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150701143651_20150701151129.02,LT8BPF20150701143257_20150701151224.01,L8CPF20150701_20150930.01,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/07/01,2015:182:15:03:54.2139730,2015:182:15:04:25.9839690,9,33.8,44.75759084,39.92617539,6.568,5.365,216,2,Y,LPGS_2.5.1,11°34'03.25"S,74°47'07.01"W,10°31'07.93"S,75°26'45.82"W,10°52'49.22"S,73°44'41.35"W,12°37'15.67"S,74°07'11.35"W,12°15'20.20"S,75°49'54.30"W,-11.56757,-74.78528,-10.51887,-75.44606,-10.88034,-73.74482,-12.62102,-74.11982,-12.25561,-75.83175,LC80060682015182LGN00,LC80060682015182LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015182LGN00
LC80060682015166LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150615143647_20150615151122.01,LT8BPF20150615143250_20150615151217.01,L8CPF20150401_20150630.03,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/06/15,2015:166:15:03:47.8199330,2015:166:15:04:19.5899290,9,66.23,45.10676142,38.94914422,6.494,5.203,35,2,Y,LPGS_2.5.1,11°34'03.90"S,74°47'26.74"W,10°31'08.62"S,75°27'05.29"W,10°52'49.94"S,73°45'01.01"W,12°37'16.32"S,74°07'31.22"W,12°15'20.81"S,75°50'13.99"W,-11.56775,-74.79076,-10.51906,-75.45147,-10.88054,-73.75028,-12.6212,-74.12534,-12.25578,-75.83722,LC80060682015166LGN00,LC80060682015166LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015166LGN00
LC80060682015150LGN00, 006, 068, 006, 068,NADIR,FULL,NOMINAL,LO8BPF20150530143636_20150530151110.01,LT8BPF20150530143238_20150530151205.01,L8CPF20150401_20150630.02,L8RLUT20150303_20431231v11.h5,-.001,LGN,DAY,L1T,OLI_TIRS,2015/05/30,2015:150:15:03:36.0040200,2015:150:15:04:07.7740160,9,52.63,46.66916094,39.74408164,6.692,5.332,144,2,Y,LPGS_2.5.1,11°34'04.01"S,74°46'45.98"W,10°31'08.62"S,75°26'24.72"W,10°52'50.12"S,73°44'20.08"W,12°37'16.54"S,74°06'50.29"W,12°15'20.81"S,75°49'33.46"W,-11.56778,-74.77944,-10.51906,-75.4402,-10.88059,-73.73891,-12.62126,-74.11397,-12.25578,-75.82596,LC80060682015150LGN00,LC80060682015150LGN00,http://earthexplorer.usgs.gov/download/options/8704/LC80060682015150LGN00
